filename,rgb_path,fluo_path,rgb_corner_found,fluo_corner_found,used_for_homography,message
00001.jpg,D:\multimodel\data\CALIB_RGB\jpg\00001.jpg,D:\multimodel\data\CALIB_GRAY\00001.jpg,True,True,True,
00002.jpg,D:\multimodel\data\CALIB_RGB\jpg\00002.jpg,D:\multimodel\data\CALIB_GRAY\00002.jpg,True,True,True,
00003.jpg,D:\multimodel\data\CALIB_RGB\jpg\00003.jpg,D:\multimodel\data\CALIB_GRAY\00003.jpg,True,True,True,
00004.jpg,D:\multimodel\data\CALIB_RGB\jpg\00004.jpg,D:\multimodel\data\CALIB_GRAY\00004.jpg,True,True,True,
00005.jpg,D:\multimodel\data\CALIB_RGB\jpg\00005.jpg,D:\multimodel\data\CALIB_GRAY\00005.jpg,True,True,True,
00006.jpg,D:\multimodel\data\CALIB_RGB\jpg\00006.jpg,D:\multimodel\data\CALIB_GRAY\00006.jpg,True,True,True,
00007.jpg,D:\multimodel\data\CALIB_RGB\jpg\00007.jpg,D:\multimodel\data\CALIB_GRAY\00007.jpg,True,True,True,
00008.jpg,D:\multimodel\data\CALIB_RGB\jpg\00008.jpg,D:\multimodel\data\CALIB_GRAY\00008.jpg,True,True,True,
00009.jpg,D:\multimodel\data\CALIB_RGB\jpg\00009.jpg,D:\multimodel\data\CALIB_GRAY\00009.jpg,True,True,True,
00010.jpg,D:\multimodel\data\CALIB_RGB\jpg\00010.jpg,D:\multimodel\data\CALIB_GRAY\00010.jpg,True,True,True,
00011.jpg,D:\multimodel\data\CALIB_RGB\jpg\00011.jpg,D:\multimodel\data\CALIB_GRAY\00011.jpg,True,True,True,
00012.jpg,D:\multimodel\data\CALIB_RGB\jpg\00012.jpg,D:\multimodel\data\CALIB_GRAY\00012.jpg,True,True,True,
00013.jpg,D:\multimodel\data\CALIB_RGB\jpg\00013.jpg,D:\multimodel\data\CALIB_GRAY\00013.jpg,True,True,True,
00014.jpg,D:\multimodel\data\CALIB_RGB\jpg\00014.jpg,D:\multimodel\data\CALIB_GRAY\00014.jpg,True,True,True,
00015.jpg,D:\multimodel\data\CALIB_RGB\jpg\00015.jpg,D:\multimodel\data\CALIB_GRAY\00015.jpg,True,True,True,
00016.jpg,D:\multimodel\data\CALIB_RGB\jpg\00016.jpg,D:\multimodel\data\CALIB_GRAY\00016.jpg,True,True,True,
00017.jpg,D:\multimodel\data\CALIB_RGB\jpg\00017.jpg,D:\multimodel\data\CALIB_GRAY\00017.jpg,True,True,True,
00018.jpg,D:\multimodel\data\CALIB_RGB\jpg\00018.jpg,D:\multimodel\data\CALIB_GRAY\00018.jpg,True,True,True,
00019.jpg,D:\multimodel\data\CALIB_RGB\jpg\00019.jpg,D:\multimodel\data\CALIB_GRAY\00019.jpg,True,True,True,
00020.jpg,D:\multimodel\data\CALIB_RGB\jpg\00020.jpg,D:\multimodel\data\CALIB_GRAY\00020.jpg,True,True,True,
